algorithm,index,str,length,time
brute,5605,Almighty,8,0.059751
brute,6263,American,8,0.288864
brute,8366,Americas,8,0.378634
brute,1329,Athenian,8,0.075024
brute,28378,Atlantic,8,1.275
bitap,5605,Almighty,8,0.129485
bitap,6263,American,8,0.141646
bitap,8366,Americas,8,0.182197
bitap,1329,Athenian,8,0.05018
bitap,28378,Atlantic,8,0.562984
rk,5605,Almighty,8,0.355521
rk,6263,American,8,0.446535
rk,8366,Americas,8,0.547118
rk,1329,Athenian,8,0.102298
rk,28378,Atlantic,8,1.77173
kmp,6263,Americans,9,0.141494
kmp,1329,Athenians,9,0.045009
kmp,13501,Churchill,9,0.264483
kmp,29248,Communism,9,0.547363
kmp,26707,Communist,9,0.498595
bmh,6263,Americans,9,0.469305
bmh,1329,Athenians,9,0.173421
bmh,13501,Churchill,9,0.8043
bmh,29248,Communism,9,1.90319
bmh,26707,Communist,9,1.7644
brute,6263,Americans,9,0.285668
brute,1329,Athenians,9,0.073524
brute,13501,Churchill,9,0.597393
brute,29248,Communism,9,1.27121
brute,26707,Communist,9,1.1604
bitap,6263,Americans,9,0.141832
bitap,1329,Athenians,9,0.048123
bitap,13501,Churchill,9,0.278658
bitap,29248,Communism,9,0.584705
bitap,26707,Communist,9,0.533355
rk,6263,Americans,9,0.414852
rk,1329,Athenians,9,0.10316
rk,13501,Churchill,9,0.846974
rk,29248,Communism,9,1.77911
rk,26707,Communist,9,1.78309
kmp,26707,Communists,10,0.524521
kmp,5332,Eisenhower,10,0.120174
kmp,13463,Presidents,10,0.288946
kmp,549,Washington,10,0.03095
kmp,32143,accelerate,10,0.724629
bmh,26707,Communists,10,1.54333
bmh,5332,Eisenhower,10,0.389904
bmh,13463,Presidents,10,0.884407
bmh,549,Washington,10,0.092881
bmh,32143,accelerate,10,0.494264
brute,26707,Communists,10,1.1601
brute,5332,Eisenhower,10,0.362694
brute,13463,Presidents,10,0.533551
brute,549,Washington,10,0.041018
brute,32143,accelerate,10,0.355473
bitap,26707,Communists,10,0.48062
bitap,5332,Eisenhower,10,0.04651
bitap,13463,Presidents,10,0.284025
bitap,549,Washington,10,0.036984
bitap,32143,accelerate,10,0.64518
rk,26707,Communists,10,1.51968
rk,5332,Eisenhower,10,0.354152
rk,13463,Presidents,10,0.436621
rk,549,Washington,10,0.053812
rk,32143,accelerate,10,2.2173
